EP_id,Publications_in_venue,Original_Title,Country_of_Publication,ERIH_PLUS_Disciplines,disc_count
342145,4783,Archives of Sexual Behavior,Netherlands,"Gender Studies, Psychology",2
340312,4750,International Journal of Psychophysiology,Netherlands,Psychology,1
342624,4668,European Economic Review,Netherlands,"Business and Management, Economics",2
477763,4648,Sage Open,United Kingdom,"Art and Art History, Gender Studies, History, Cultural Studies, Media Studies and Communication, Film and Theatre Studies, Economics, Political Sciences and International Relations, Sociology, Literature, Pedagogical & Educational Research, Psychology, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",14
445221,4613,Nicotine & Tobacco Research,United Kingdom,Psychology,1
339932,4605,Applied Ergonomics,Netherlands,Psychology,1
470217,4572,Behavioural Processes,Netherlands,Psychology,1
446213,4499,Psycho-Oncology,United Kingdom,Psychology,1
341575,4458,Public Choice,Netherlands,"Business and Management, Political Sciences and International Relations, Sociology",3
343536,4457,Behavioral Ecology,United Kingdom,Psychology,1
341163,4447,Tourism Management,Netherlands,"Environmental Studies, Interdisciplinary research in the Social Sciences",2
425568,4324,Nature Reviews Neuroscience,United Kingdom,Psychology,1
440005,4251,Early Child Development and Care,United Kingdom,"Psychology, Pedagogical & Educational Research",2
340670,4246,Journal of Public Economics,Netherlands,"Business and Management, Economics",2
342897,4238,Human Relations,United Kingdom,Psychology,1
444849,4197,Mind,United Kingdom,Philosophy,1
441925,4197,International Journal of Mathematical Education in Science and Technology,United Kingdom,Pedagogical & Educational Research,1
340337,4146,Research in Developmental Disabilities,Netherlands,Pedagogical & Educational Research,1
442090,4142,International Psychogeriatrics,United Kingdom,Psychology,1
342283,4033,Lingua,Netherlands,Linguistics,1
447380,4011,Teachers College Record (TCR),United Kingdom,Pedagogical & Educational Research,1
440058,3957,The Economic History Review,United Kingdom,History,1
439116,3889,Classical Quarterly,United Kingdom,"History, Classical Studies",2
341994,3888,"Futures: The journal of policy, planning and futures studies",United Kingdom,"Science and Technology Studies, Business and Management",2
340694,3860,Research Policy,Netherlands,"Science and Technology Studies, Interdisciplinary research in the Social Sciences",2
340553,3824,Omega. The International Journal of Management Science,Netherlands,Business and Management,1
429124,3813,Teaching and Teacher Education : An International Journal of Research and Studies,United Kingdom,"Psychology, Pedagogical & Educational Research",2
343251,3796,Biological Psychology,Netherlands,Psychology,1
438358,3789,Behaviour,Netherlands,Psychology,1
439100,3781,Cities: The International Journal of Urban Policy and Planning,United Kingdom,"Sociology, Human Geography and Urban Studies",2
340461,3740,Family Practice,United Kingdom,Psychology,1
441763,3737,International Journal of Audiology,United Kingdom,Linguistics,1
342838,3736,Current Opinion in Neurobiology,United Kingdom,Psychology,1
443130,3729,Journal of Intellectual Disability Research,United Kingdom,"Psychology, Pedagogical & Educational Research",2
443625,3687,Journal of Psychopharmacology,United Kingdom,Psychology,1
443509,3674,Journal of Personality,"United Kingdom, United States",Psychology,1
341650,3657,Journal of Substance Abuse Treatment,Netherlands,Psychology,1
340243,3643,Ethology,Germany,Psychology,1
340375,3627,Annals of Tourism Research,Netherlands,"Sociology, Environmental Studies, Human Geography and Urban Studies",3
447256,3605,Studies in Conservation,United Kingdom,"Archaeology, Art and Art History",2
342534,3603,International Affairs,United Kingdom,Political Sciences and International Relations,1
340676,3599,International Journal of Human Resource Management,United Kingdom,Psychology,1
340772,3598,Journal of Anatomy,United Kingdom,Anthropology,1
439794,3579,Decision Support Systems,Netherlands,Psychology,1
443500,3450,Journal of Pediatric Psychology,United Kingdom,Psychology,1
343614,3438,Review of Economic Studies,United Kingdom,"Business and Management, Economics",2
499287,3398,Journal of Personalized Medicine,Switzerland,Science and Technology Studies,1
340025,3389,British Food Journal,United Kingdom,Business and Management,1
343702,3388,Higher Education,Netherlands,Pedagogical & Educational Research,1
485158,3379,Journal of Archaeological Science: Reports,Netherlands,"Archaeology, Science and Technology Studies",2
440955,3375,Gerontology,Switzerland,Psychology,1
413785,3367,Journal of Development Economics,Netherlands,"Business and Management, Economics",2
343675,3363,The Holocene,United Kingdom,Archaeology,1
343310,3318,Economica,United Kingdom,"Business and Management, Economics",2
340584,3311,Ethnic and Racial Studies,United Kingdom,Anthropology,1
447037,3309,Sociological Review,United Kingdom,Political Sciences and International Relations,1
342588,3306,Journal of Health Psychology,United Kingdom,Psychology,1
437666,3263,Analysis,United Kingdom,"History & Philosophy of Science, Philosophy",2
441873,3257,International Journal of Hospitality Management,United Kingdom,"Environmental Studies, Human Geography and Urban Studies, Interdisciplinary research in the Social Sciences",3
437450,3248,Aging & Mental Health,United Kingdom,Psychology,1
438112,3247,Artificial Intelligence,Netherlands,Linguistics,1
442014,3241,International Journal of Science Education,United Kingdom,Pedagogical & Educational Research,1
432030,3234,International Journal of Developmental Neuroscience,Netherlands,Psychology,1
342509,3226,Third World Quarterly,United Kingdom,"Economics, Interdisciplinary research in the Social Sciences, Political Sciences and International Relations",3
342528,3209,Journal of Development Studies,United Kingdom,Interdisciplinary research in the Social Sciences,1
341581,3191,Psychological Research,Germany,Psychology,1
442882,3180,Journal of Ethnic and Migration Studies,United Kingdom,History,1
440248,3172,English Historical Review,United Kingdom,History,1
340201,3163,Psychotherapy and Psychosomatics,Switzerland,Psychology,1
340591,3148,Strategic Management Journal,United Kingdom,"Business and Management, Economics",2
447883,3144,Transportation Research Part D: Transport and Environment,Netherlands,Environmental Studies,1
341743,3138,Journal of Adolescence,United Kingdom,Psychology,1
443355,3130,Journal of Monetary Economics,Netherlands,"Business and Management, Economics",2
341840,3097,Scandinavian Journal of Psychology,United Kingdom,Psychology,1
435268,3093,Journal of Abnormal Child Psychology,"Netherlands, United States",Psychology,1
437780,3085,Annals of Human Genetics,United Kingdom,Anthropology,1
416429,3035,Sociology,United Kingdom,Sociology,1
439029,3030,"Child: Care, Health and Development",United Kingdom,Psychology,1
340678,3026,Alcohol and Alcoholism,United Kingdom,Psychology,1
341461,3015,British Journal of Educational Psychology,United Kingdom,"Pedagogical & Educational Research, Psychology",2
438664,3009,The British Journal of Social Work,United Kingdom,Sociology,1
438646,3001,British Journal of Educational Technology (BJET),United Kingdom,"Pedagogical & Educational Research, Psychology",2
418707,2996,Chemical Senses,United Kingdom,Psychology,1
425901,2986,Infant Behavior and Development,Netherlands,Psychology,1
340223,2967,Journal of Behavior Therapy and Experimental Psychiatry,United Kingdom,Psychology,1
425325,2937,Revue économique,France,Economics,1
342828,2937,European Journal of Social Psychology,United Kingdom,Psychology,1
342482,2922,European Child and Adolescent Psychiatry,Germany,Psychology,1
438662,2915,British Journal of Psychology,United Kingdom,Psychology,1
340185,2914,"Scandinavian Journal of Work, Environment and Health",Finland,Psychology,1
443701,2903,Journal of Rural Studies,Netherlands,"Sociology, Human Geography and Urban Studies",2
341656,2884,Organization Studies,Germany,Business and Management,1
427651,2869,Journal of International Money and Finance,Netherlands,"Business and Management, Economics",2
443431,2867,Journal of Nutrition Education and Behavior,Netherlands,Pedagogical & Educational Research,1
340720,2865,Quarterly Journal of Experimental Psychology (QJEP),United Kingdom,Psychology,1
440454,2858,European Journal of Marketing,United Kingdom,Business and Management,1
437779,2848,Annals of Human Biology,United Kingdom,Anthropology,1
443692,2831,Journal of Retailing and Consumer Services,United Kingdom,Business and Management,1
446200,2815,"Psychology and Psychotherapy: Theory, Research and Practice",United Kingdom,Psychology,1
340381,2808,Neuropsychobiology,Switzerland,Psychology,1
438665,2787,British Journal of Sociology,United Kingdom,"Political Sciences and International Relations, Sociology",2
343261,2752,Food Policy,United Kingdom,"Economics, Interdisciplinary research in the Social Sciences",2
440323,2740,Erkenntnis: An International Journal of Scientific Philosophy,Netherlands,"History & Philosophy of Science, Philosophy",2
343271,2740,Population Studies,United Kingdom,History,1
413494,2726,Applied Cognitive Psychology,United Kingdom,Psychology,1
441268,2720,Human Movement Science,Netherlands,Psychology,1
468479,2712,Corporate Ownership and Control,Ukraine,"Business and Management, Economics, Law, Political Sciences and International Relations",4
343485,2708,British Journal of Criminology,United Kingdom,Psychology,1
440094,2692,Educational Philosophy and Theory,United Kingdom,"Philosophy, Pedagogical & Educational Research",2
433601,2689,Political Studies,United Kingdom,Political Sciences and International Relations,1
430159,2680,Cognition & Emotion,United Kingdom,Psychology,1
342134,2673,Progress in Human Geography,United Kingdom,"Demography, Environmental Studies",2
437889,2673,Aphasiology,United Kingdom,"Linguistics, Psychology",2
342192,2669,Africa,United Kingdom,"Anthropology, History",2
343385,2666,Behavioural Pharmacology,United Kingdom,Psychology,1
447132,2662,Speech Communication,Netherlands,Linguistics,1
441851,2662,International Journal of Forecasting,Netherlands,"Business and Management, Economics",2
342675,2657,International Review of Economics and Finance,Netherlands,Economics,1
447356,2654,System (Linköping),Netherlands,Pedagogical & Educational Research,1
339733,2631,Studies in Higher Education,United Kingdom,Pedagogical & Educational Research,1
340152,2629,European Planning Studies,United Kingdom,Human Geography and Urban Studies,1
441181,2600,The Historical Journal,United Kingdom,History,1
439047,2591,The China Quarterly,United Kingdom,"Interdisciplinary research in the Social Sciences, Political Sciences and International Relations",2
441700,2587,International and Comparative Law Quarterly,United Kingdom,Law,1
440062,2582,Economic Theory,Germany,"Business and Management, Economics",2
442525,2578,Journal of Business Finance & Accounting,United Kingdom,"Business and Management, Economics",2
441986,2568,International Journal of Project Management,United Kingdom,Business and Management,1
446266,2566,Quality & Quantity: International Journal of Methodology,Netherlands,"Pedagogical & Educational Research, Psychology",2
480174,2566,Education Sciences,Switzerland,Pedagogical & Educational Research,1
446883,2558,Semiotica: Journal of the International Association for Semiotic Studies,Germany,"Linguistics, Anthropology",2
422802,2557,Evaluation and Program Planning,United Kingdom,"Pedagogical & Educational Research, Psychology",2
441861,2543,International journal of group psychotherapy,United Kingdom,Psychology,1
343375,2543,Journal of Common Market Studies,United Kingdom,"Business and Management, Economics, Political Sciences and International Relations",3
439856,2540,Development and Psychopathology,United Kingdom,Psychology,1
445920,2527,The Political Quarterly,United Kingdom,"Political Sciences and International Relations, Sociology",2
429687,2512,Dementia and Geriatric Cognitive Disorders,Switzerland,Psychology,1
341667,2511,Transport Policy,Netherlands,"Economics, Sociology",2
342578,2503,Journal of the International Neuropsychological Society,United Kingdom,Psychology,1
339705,2481,Agricultural Economics,Netherlands,Economics,1
442058,2480,International Journal of Urban and Regional Research,United Kingdom,"Political Sciences and International Relations, Human Geography and Urban Studies",2
448170,2477,Women's Studies: International Forum,United Kingdom,Gender Studies,1
343172,2475,Journal of Management Studies,United Kingdom,"Business and Management, Psychology",2
341593,2467,New Media & Society,United Kingdom,Media Studies and Communication,1
437751,2467,Annales Medico-Psychologiques,France,Psychology,1
437992,2465,Archaeometry,United Kingdom,Archaeology,1
446484,2458,The Review of financial studies,United Kingdom,"Business and Management, Economics",2
447885,2454,Transportation Research Part F: Traffic Psychology and Behaviour,United Kingdom,Psychology,1
339943,2447,Psychology and Health,"Switzerland, United Kingdom",Psychology,1
340042,2444,Small Business Economics,Netherlands,"Business and Management, Economics",2
438637,2437,British Journal for the Philosophy of Science,United Kingdom,"Philosophy, History & Philosophy of Science",2
442721,2418,Journal of criminal justice,United Kingdom,Sociology,1
342589,2415,European Journal of Political Research,United Kingdom,"Business and Management, Economics",2
498971,2414,Eastern-European Journal of Enterprise Technologies,Ukraine,"Science and Technology Studies, Social Statistics and Informatics, Environmental Studies",3
447227,2408,Studia Logica: An International Journal for Symbolic Logic,Netherlands,"History & Philosophy of Science, Philosophy",2
341157,2399,Journal of International Business Studies,United Kingdom,"Business and Management, Economics",2
412068,2398,Behaviour and Information Technology,United Kingdom,Psychology,1
443737,2397,Journal of Social and Personal Relationships,United Kingdom,Psychology,1
432451,2396,Ageing & Society,United Kingdom,Psychology,1
339888,2390,Bulletin of the School of Oriental and African Studies,United Kingdom,"History, Interdisciplinary research in the Humanities",2
445389,2390,Education and Information Technologies : Official Journal of the IFIP technical committee on Education,Switzerland,Pedagogical & Educational Research,1
343368,2389,Human Psychopharmacology: Clinical and Experimental,United Kingdom,Psychology,1
441945,2364,International Journal of Neuropsychopharmacology,United Kingdom,Psychology,1
439862,2343,Developmental Science,United Kingdom,Psychology,1
340079,2335,Health Education Research,United Kingdom,Pedagogical & Educational Research,1
445739,2325,Philosophy,United Kingdom,Philosophy,1
475881,2322,Health Education Journal,United Kingdom,Pedagogical & Educational Research,1
442484,2318,Journal of behavioral medicine,Netherlands,Psychology,1
422429,2314,Disability & Society,United Kingdom,Pedagogical & Educational Research,1
343183,2314,Economics of Education Review,United Kingdom,Pedagogical & Educational Research,1
441807,2312,International Journal of Contemporary Hospitality Management,United Kingdom,"Business and Management, Human Geography and Urban Studies",2
340413,2306,"Media, Culture and Society",United Kingdom,"Media Studies and Communication, Political Sciences and International Relations, Sociology",3
438614,2302,"Brain, Behavior and Evolution",Switzerland,Psychology,1
443466,2302,Journal of Organizational Behavior,United Kingdom,Psychology,1
341081,2293,Health Care for Women International,United Kingdom,Gender Studies,1
440106,2291,Educational Studies in Mathematics,Netherlands,Pedagogical & Educational Research,1
341038,2288,International Journal of Educational Development,Netherlands,Pedagogical & Educational Research,1
341578,2284,English Studies: A Journal of English Language,Netherlands,"Literature, Linguistics",2
440191,2283,ELT Journal,United Kingdom,"Linguistics, Pedagogical & Educational Research",2
442730,2282,Journal of Cultural Heritage,France,Art and Art History,1
447459,2278,The American Educational Research Journal (AERJ),United Kingdom,"Pedagogical & Educational Research, Psychology",2
441991,2276,International Journal of Psychoanalysis,United Kingdom,Psychology,1
443037,2276,Journal of Hellenic Studies,United Kingdom,"Classical Studies, History",2
445734,2275,The Philosophical Quarterly,United Kingdom,Philosophy,1
438237,2274,Australasian Journal of Philosophy,United Kingdom,"History & Philosophy of Science, Philosophy",2
439186,2269,Clinical Psychology Review,Netherlands,Psychology,1
339805,2259,Journal of Peace Research,United Kingdom,"Political Sciences and International Relations, Interdisciplinary research in the Social Sciences",2
441903,2257,International journal of language and communication disorders,United Kingdom,Linguistics,1
434819,2251,L'Encephale,France,Psychology,1
441875,2249,International Journal of Human-Computer Studies,United Kingdom,"Linguistics, Psychology",2
443709,2249,Journal of School Psychology,Netherlands,Psychology,1
442020,2240,International Journal of Social Economics,United Kingdom,"Economics, Interdisciplinary research in the Social Sciences",2
340264,2233,West European Politics,United Kingdom,Political Sciences and International Relations,1
341032,2229,Boreas,"Norway, United States","Archaeology, History",2
447745,2223,"Theory, Culture and Society. Explorations in Critical Social Science",United Kingdom,Anthropology,1
442784,2219,Journal of Economic Psychology,Netherlands,Psychology,1
343641,2206,Regional Science and Urban Economics,Netherlands,"Business and Management, Human Geography and Urban Studies",2
342833,2181,Political Geography,Netherlands,"Political Sciences and International Relations, Environmental Studies, Human Geography and Urban Studies",3
342986,2173,European Management Journal,Netherlands,Business and Management,1
444356,2170,Learning and Individual Differences,United Kingdom,"Psychology, Pedagogical & Educational Research",2
442081,2167,International migration,United Kingdom,Demography,1
437421,2167,African Affairs,United Kingdom,Political Sciences and International Relations,1
425995,2160,Annals of Behavioral Medicine,United Kingdom,Psychology,1
443254,2149,Journal of Marital & Family Therapy,United Kingdom,Psychology,1
447267,2131,Studies in History and Philosophy of Science,United Kingdom,"History & Philosophy of Science, Philosophy",2
340957,2129,International Journal of Industrial Organization,Netherlands,"Business and Management, Economics, Science and Technology Studies",3
442705,2121,Journal of Corporate Finance,Netherlands,Business and Management,1
413502,2113,Memory,United Kingdom,Psychology,1
340022,2111,International Journal of the History of Sport,United Kingdom,History,1
483709,2110,Social Sciences,Switzerland,"Anthropology, Gender Studies, History, History & Philosophy of Science, Cultural Studies, Media Studies and Communication, Economics, Law, Political Sciences and International Relations, Sociology, Social Statistics and Informatics, Human Geography and Urban Studies, Linguistics, Psychology, Interdisciplinary research in the Social Sciences",15
443259,2096,Journal of Marketing Management,United Kingdom,Business and Management,1
340897,2091,European Journal of Political Economy,Netherlands,Political Sciences and International Relations,1
441829,2087,International Journal of Electrical Engineering Education,United Kingdom,Pedagogical & Educational Research,1
343651,2084,Development and Change,United Kingdom,"Business and Management, Political Sciences and International Relations",2
340478,2081,New Testament Studies,United Kingdom,Religious Studies and Theology,1
340755,2081,Journal of Environmental Psychology,United Kingdom,Psychology,1
342731,2075,Mathematical Social Sciences,Netherlands,"History & Philosophy of Science, Economics, Political Sciences and International Relations, Psychology",4
440711,2072,Folia Phoniatrica et Logopaedica,Switzerland,Linguistics,1
439680,2072,Current Issues in Tourism,United Kingdom,"Environmental Studies, Human Geography and Urban Studies",2
447630,2065,The Monist,United Kingdom,Philosophy,1
342467,2063,International Journal of Educational Research,Netherlands,Pedagogical & Educational Research,1
341855,2055,"Environment & Planning. D, Society and Space",United Kingdom,"Gender Studies, Art and Art History",2
472352,2053,Check List,Bulgaria,Environmental Studies,1
341902,2044,"Work, Employment and Society",United Kingdom,Psychology,1
417129,2037,Journal of Agricultural Economics (JAE),United Kingdom,Business and Management,1
343195,2028,International Studies Quarterly,United Kingdom,Political Sciences and International Relations,1
437812,2027,Annee Psychologique,France,Psychology,1
425414,2025,Journal of European Public Policy,United Kingdom,Political Sciences and International Relations,1
441963,2009,International Journal of Osteoarchaeology,United Kingdom,"Anthropology, Archaeology",2
441958,2006,International Journal of Operations & Production Management,United Kingdom,Business and Management,1
340634,1991,Europe-Asia Studies,United Kingdom,History,1
341800,1985,Visual Neuroscience,United Kingdom,Psychology,1
445086,1978,Neophilologus: An International Journal of Modern and Mediaeval Language and Literature,Netherlands,"Linguistics, Literature",2
442927,1976,Journal of Field Archaeology,United Kingdom,Archaeology,1
441597,1968,"Information, Communication & Society",United Kingdom,"Interdisciplinary research in the Social Sciences, Media Studies and Communication",2
438299,1959,Autism,United Kingdom,Psychology,1
439662,1941,Current Directions in Psychological Science,United Kingdom,Psychology,1
342868,1932,Linguistics,Germany,Linguistics,1
340434,1931,Theory and Decision,Netherlands,"Psychology, Philosophy, History & Philosophy of Science",3
341890,1928,Journal of Multilingual and Multicultural Development (JMMD),United Kingdom,"Pedagogical & Educational Research, Linguistics",2
422307,1926,British Journal of Sociology of Education,United Kingdom,Pedagogical & Educational Research,1
343684,1926,Environment and Behavior,United Kingdom,Psychology,1
484363,1923,Antiquaries Journal,United Kingdom,Archaeology,1
441153,1921,Higher Education Research and Development,United Kingdom,Pedagogical & Educational Research,1
438174,1915,Assessment & Evaluation in Higher Education,United Kingdom,"Pedagogical & Educational Research, Psychology",2
342362,1913,Business History,United Kingdom,History,1
428647,1912,British Educational Research Journal (BERJ),United Kingdom,"Pedagogical & Educational Research, Psychology",2
339856,1906,Modern Asian Studies,United Kingdom,History,1
445667,1901,Personnel Review,United Kingdom,Psychology,1
444708,1896,Medical history,United Kingdom,"History, History & Philosophy of Science",2
438648,1886,British Journal of Guidance and Counselling,United Kingdom,"Psychology, Pedagogical & Educational Research",2
437697,1884,Animal Cognition,Germany,Psychology,1
440076,1876,Education + Training,United Kingdom,Pedagogical & Educational Research,1
340621,1865,European Journal of Engineering Education,Netherlands,Pedagogical & Educational Research,1
443619,1864,Journal of Psycholinguistic Research,Netherlands,Linguistics,1
446253,1863,International Journal of Qualitative Studies in Education,United Kingdom,Pedagogical & Educational Research,1
442388,1862,Journal of Analytical Psychology,United Kingdom,Psychology,1
443820,1856,Journal of Sustainable Tourism,United Kingdom,"Science and Technology Studies, Environmental Studies, Human Geography and Urban Studies",3
445606,1855,Past & Present,United Kingdom,"Cultural Studies, History",2
341945,1851,Journal of Curriculum Studies,United Kingdom,Pedagogical & Educational Research,1
440097,1851,Educational Psychology,United Kingdom,Pedagogical & Educational Research,1
489977,1849,Frontiers in Education,Switzerland,Pedagogical & Educational Research,1
434331,1849,"Sport in Society: Cultures, Commerce, Media, Politics",United Kingdom,"Cultural Studies, Media Studies and Communication, Interdisciplinary research in the Social Sciences",3
443726,1843,Journal of Sex & Marital Therapy,United Kingdom,Psychology,1
476225,1842,Revue de Geographie Alpine,France,"Environmental Studies, Human Geography and Urban Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Sociology",5
343688,1842,International Review of Education,Netherlands,Pedagogical & Educational Research,1
342284,1838,International Journal of the Sociology of Language,Germany,Linguistics,1
440716,1837,Folklore,United Kingdom,Anthropology,1
440103,1824,Educational review (Birmingham),United Kingdom,Pedagogical & Educational Research,1
343221,1808,British Journal of Political Science,United Kingdom,Political Sciences and International Relations,1
341871,1807,The Review of Income and Wealth,United Kingdom,Economics,1
437959,1794,Applied Psychology,United Kingdom,Psychology,1
342289,1791,Labour Economics,Netherlands,"Business and Management, Economics",2
442414,1791,Journal of applied econometrics,United Kingdom,"Business and Management, Economics",2
341858,1786,Social Studies of Science,United Kingdom,"Philosophy, History & Philosophy of Science",2
440229,1785,Enfance,France,"Psychology, Pedagogical & Educational Research",2
443532,1784,Journal of Phonetics,Netherlands,Linguistics,1
445649,1780,Performance Research: A Journal of the Performing Arts,United Kingdom,Musicology,1
341577,1779,Reading and writing,Netherlands,"Psychology, Linguistics",2
341980,1779,"Culture, Health and Sexuality",United Kingdom,Psychology,1
340982,1773,International Business Review,Netherlands,"Business and Management, Economics",2
343272,1773,The Scandinavian Journal of Economics,Sweden,"Business and Management, Economics",2
445599,1767,Parliamentary Affairs,United Kingdom,"Law, Political Sciences and International Relations, Sociology",3
441886,1763,International Journal of Inclusive Education,United Kingdom,Pedagogical & Educational Research,1
341449,1762,British Journal of Social Psychology,United Kingdom,Psychology,1
442172,1757,Irish Journal of Psychological Medicine,United Kingdom,Psychology,1
428607,1757,Journal of Peasant Studies,United Kingdom,History,1
439044,1751,China economic review,Netherlands,"Business and Management, Economics",2
443699,1747,Journal of Roman Studies,United Kingdom,"History, Classical Studies, Archaeology",3
448182,1743,World archaeology,United Kingdom,Archaeology,1
446469,1742,Review of African Political Economy,United Kingdom,"Political Sciences and International Relations, Human Geography and Urban Studies",2
438641,1741,British Journal of Clinical Psychology,United Kingdom,Psychology,1
443624,1736,Journal of Psychopathology and Behavioral Assessment,Netherlands,Psychology,1
341434,1731,The Journal of Modern African Studies,United Kingdom,"Economics, Political Sciences and International Relations",2
442970,1731,Journal of Further and Higher Education,United Kingdom,Pedagogical & Educational Research,1
438431,1729,Bioethics,United Kingdom,"Philosophy, Religious Studies and Theology",2
341294,1727,International Review of Administrative Sciences,United Kingdom,"Political Sciences and International Relations, Interdisciplinary research in the Social Sciences",2
444399,1721,L'Homme. Revue française d'anthropologie,France,Anthropology,1
441781,1720,International Journal of Clinical and Experimental Hypnosis,United Kingdom,Psychology,1
438021,1717,Archive for Mathematical Logic,Germany,Philosophy,1
438858,1717,Canadian Journal on Aging/La Revue canadienne du vieillissement,United Kingdom,Sociology,1
437124,1716,"Accounting, Organizations and Society",Netherlands,"Business and Management, Economics",2
438357,1715,Behavioral sciences & the law,United Kingdom,Psychology,1
443210,1714,Journal of Linguistics,United Kingdom,Linguistics,1
441204,1713,History of European Ideas,United Kingdom,History,1
340854,1708,Journal of Philosophy of Education,United Kingdom,"Philosophy, Pedagogical & Educational Research",2
438650,1707,British Journal of Industrial Relations,United Kingdom,Business and Management,1
441684,1705,Interactive Learning Environments,United Kingdom,Pedagogical & Educational Research,1
444835,1698,Middle Eastern Studies,United Kingdom,History,1
439164,1697,Clinical Linguistics & Phonetics,United Kingdom,Linguistics,1
445123,1685,Neurocase,United Kingdom,Psychology,1
442698,1681,Journal of Contemporary History,United Kingdom,History,1
440846,1681,"Gender, Place & Culture: A Journal of Feminist Geography",United Kingdom,Gender Studies,1
444005,1679,Journal of Theological Studies,United Kingdom,Religious Studies and Theology,1
442267,1676,JARID: Journal of applied research in intellectual disabilities,United Kingdom,Psychology,1
444290,1674,Language and Speech,United Kingdom,"Psychology, Linguistics",2
443181,1674,Journal of Knowledge Management,United Kingdom,Business and Management,1
