OC_omid,issn,EP_id,Publications_in_venue,Open Access
622017543,"['1467-8535', '0007-1013']",438646,3001,Unknown
66064131,"['1464-3553', '0379-864X']",418707,2996,Unknown
621018061,['0163-6383'],425901,2986,Unknown
618029920,['0005-7916'],340223,2967,Unknown
69069330,"['1950-6694', '0035-2764']",425325,2937,Unknown
61604715,"['0046-2772', '1099-0992']",342828,2937,Unknown
613024607,"['1018-8827', '1435-165X']",342482,2922,Unknown
69014774,"['2044-8295', '0007-1269']",438662,2915,Unknown
616041638,"['1795-990X', '0355-3140']",340185,2914,True
67031597,['0743-0167'],443701,2903,Unknown
625024425,"['0170-8406', '1741-3044']",341656,2884,Unknown
624051704,['0261-5606'],427651,2869,Unknown
69027566,['1499-4046'],443431,2867,Unknown
625039212,"['1747-0218', '1747-0226']",340720,2865,Unknown
617060860,['0309-0566'],440454,2858,Unknown
615046375,"['1464-5033', '0301-4460']",437779,2848,True
63013403,['0969-6989'],443692,2831,Unknown
62404077,"['1476-0835', '0007-1129', '2044-8341']",446200,2815,Unknown
621034146,"['1423-0224', '0302-282X']",340381,2808,Unknown
618010074,"['0007-1315', '1468-4446']",438665,2787,Unknown
67011434,['0306-9192'],343261,2752,Unknown
6808240,"['1572-8420', '0165-0106']",440323,2740,Unknown
64052554,"['0032-4728', '1477-4747']",343271,2740,Unknown
619020617,"['0888-4080', '1099-0720']",413494,2726,Unknown
67057456,['0167-9457'],441268,2720,Unknown
68046228,"['1810-3057', '1727-9232']",468479,2712,Unknown
622017424,"['0007-0955', '1464-3529']",343485,2708,Unknown
6708545,"['1469-5812', '0013-1857']",440094,2692,Unknown
625027241,"['0032-3217', '1467-9248']",433601,2689,Unknown
64059747,"['1464-0600', '0269-9931']",430159,2680,Unknown
618061247,"['1477-0288', '0309-1325']",342134,2673,Unknown
6905206,"['0268-7038', '1464-5041']",437889,2673,Unknown
61051229,"['1750-0184', '0001-9720']",342192,2669,Unknown
611071044,['0955-8810'],343385,2666,Unknown
6608460,['0167-6393'],447132,2662,Unknown
621066156,['0169-2070'],441851,2662,Unknown
61501110,['1059-0560'],342675,2657,Unknown
626072861,['0346-251X'],447356,2654,Unknown
616028523,"['1470-174X', '0307-5079']",339733,2631,Unknown
61108023,"['0965-4313', '1469-5944']",340152,2629,Unknown
614036648,"['0018-246X', '1469-5103']",441181,2600,Unknown
625016739,"['1468-2648', '0305-7410']",439047,2591,Unknown
619022209,"['0020-5893', '1471-6895']",441700,2587,Unknown
69041060,"['1432-0479', '0938-2259']",440062,2582,Unknown
67011271,"['1468-5957', '0306-686X']",442525,2578,Unknown
613029054,['0263-7863'],441986,2568,Unknown
6305790,"['1573-7845', '0033-5177']",446266,2566,Unknown
611045964,['2227-7102'],480174,2566,True
624037945,"['1613-3692', '0037-1998']",446883,2558,Unknown
625020043,['0149-7189'],422802,2557,Unknown
615040813,"['0020-7284', '1943-2836']",441861,2543,Unknown
614011280,"['1468-5965', '0021-9886']",343375,2543,Unknown
69025496,"['0954-5794', '1469-2198']",439856,2540,Unknown
625027059,"['0032-3179', '1467-923X']",445920,2527,Unknown
66033823,"['1420-8008', '1421-9824']",429687,2512,Unknown
65023860,['0967-070X'],341667,2511,Unknown
6201174,"['1355-6177', '1469-7661']",342578,2503,Unknown
612017785,"['1574-0862', '0169-5150']",339705,2481,Unknown
618061215,"['0309-1317', '1468-2427']",442058,2480,Unknown
65014703,['0277-5395'],448170,2477,Unknown
64064615,"['0022-2380', '1467-6486']",343172,2475,Unknown
61028076,"['1461-7315', '1461-4448']",341593,2467,Unknown
66036096,['0003-4487'],437751,2467,Unknown
611029399,"['0003-813X', '1475-4754']",437992,2465,Unknown
614020520,"['1465-7368', '0893-9454']",446484,2458,Unknown
61025108,['1369-8478'],447885,2454,Unknown
61202435,"['1476-8321', '0887-0446']",339943,2447,Unknown
68016686,"['1573-0913', '0921-898X']",340042,2444,Unknown
619023617,"['0007-0882', '1464-3537']",438637,2437,Unknown
616038925,['0047-2352'],442721,2418,Unknown
69021533,"['0304-4130', '1475-6765']",342589,2415,Unknown
66042093,"['1729-3774', '1729-4061']",498971,2414,True
62040195,"['1572-8730', '0039-3215']",447227,2408,Unknown
617035471,"['0047-2506', '1478-6990']",341157,2399,Unknown
617014192,"['0144-929X', '1362-3001']",412068,2398,Unknown
613026371,"['1460-3608', '0265-4075']",443737,2397,Unknown
6803049,"['1469-1779', '0144-686X']",432451,2396,Unknown
624034532,"['0041-977X', '1474-0699']",339888,2390,Unknown
61606250,"['1573-7608', '1360-2357']",445389,2390,Unknown
619068635,"['0885-6222', '1099-1077']",343368,2389,Unknown
615022187,"['1469-5111', '1461-1457']",441945,2364,True
614019237,"['1467-7687', '1363-755X']",439862,2343,Unknown
66044567,"['1465-3648', '0268-1153']",340079,2335,Unknown
619026323,"['0031-8191', '1469-817X']",445739,2325,Unknown
616027035,"['0017-8969', '1748-8176']",475881,2322,Unknown
613045176,"['1573-3521', '0160-7715']",442484,2318,Unknown
67015454,"['1360-0508', '0968-7599']",422429,2314,Unknown
64043592,['0272-7757'],343183,2314,Unknown
619023550,['0959-6119'],441807,2312,Unknown
619032445,"['0163-4437', '1460-3675']",340413,2306,Unknown
623041960,"['0006-8977', '1421-9743']",438614,2302,Unknown
618024088,"['1099-1379', '0894-3796']",443466,2302,Unknown
623018334,"['0739-9332', '1096-4665']",341081,2293,Unknown
6708680,"['0013-1954', '1573-0816']",440106,2291,Unknown
62058907,['0738-0593'],341038,2288,Unknown
66022482,"['1744-4217', '0013-838X']",341578,2284,Unknown
61501213,"['0951-0893', '1477-4526']",440191,2283,Unknown
611055684,['1296-2074'],442730,2282,Unknown
613033523,"['1935-1011', '0002-8312']",447459,2278,Unknown
61507314,"['1745-8315', '0020-7578']",441991,2276,Unknown
61058449,"['0075-4269', '2041-4099']",443037,2276,Unknown
618022403,"['1467-9213', '0031-8094']",445734,2275,Unknown
66040705,"['0004-8402', '1471-6828']",438237,2274,Unknown
64043508,['0272-7358'],439186,2269,Unknown
621025431,"['1460-3578', '0022-3433']",339805,2259,Unknown
626019745,"['1368-2822', '1460-6984']",441903,2257,Unknown
616042978,['0013-7006'],434819,2251,Unknown
617048980,['1071-5819'],441875,2249,Unknown
6402661,['0022-4405'],443709,2249,Unknown
67011397,['0306-8293'],442020,2240,Unknown
615016873,"['0140-2382', '1743-9655']",340264,2233,Unknown
626036549,"['0300-9483', '1502-3885']",341032,2229,Unknown
622025343,"['0263-2764', '1460-3616']",447745,2223,Unknown
625030295,['0167-4870'],442784,2219,Unknown
64049537,['0166-0462'],343641,2206,Unknown
63059036,['0962-6298'],342833,2181,Unknown
62011792,['0263-2373'],342986,2173,Unknown
616036087,['1041-6080'],444356,2170,Unknown
61607453,"['1468-2435', '0020-7985']",442081,2167,Unknown
61051307,"['0001-9909', '1468-2621']",437421,2167,Unknown
62407124,"['1532-4796', '0883-6612']",425995,2160,Unknown
626044468,"['1752-0606', '0194-472X']",443254,2149,Unknown
63040399,['0039-3681'],447267,2131,Unknown
624031624,['0167-7187'],340957,2129,Unknown
68054504,['0929-1199'],442705,2121,Unknown
621018235,"['0965-8211', '1464-0686']",413502,2113,Unknown
621013747,"['0952-3367', '1743-9035']",340022,2111,Unknown
619024830,['2076-0760'],483709,2110,True
617029592,"['0267-257X', '1472-1376']",443259,2096,Unknown
613040645,['0176-2680'],340897,2091,Unknown
615040612,"['2050-4578', '0020-7209']",441829,2087,Unknown
612042509,"['0012-155X', '1467-7660']",343651,2084,Unknown
624044625,"['1469-8145', '0028-6885']",340478,2081,Unknown
626024536,['0272-4944'],340755,2081,Unknown
616024210,['0165-4896'],342731,2075,Unknown
62059987,"['1421-9972', '1021-7762']",440711,2072,Unknown
626019774,"['1368-3500', '1747-7603']",439680,2072,Unknown
613019931,"['2153-3601', '0026-9662']",447630,2065,Unknown
613060134,['0883-0355'],342467,2063,Unknown
613029001,"['1472-3433', '0263-7758']",341855,2055,Unknown
625045396,['1809-127X'],472352,2053,True
69033078,"['0950-0170', '1469-8722']",341902,2044,Unknown
625017165,"['0021-857X', '1477-9552']",417129,2037,Unknown
62030371,"['1468-2478', '0020-8833']",343195,2028,Unknown
6204175,"['0003-5033', '1955-2580']",437812,2027,Unknown
61205292,"['1350-1763', '1466-4429']",425414,2025,Unknown
621020941,"['1047-482X', '1099-1212']",441963,2009,Unknown
618061358,['0144-3577'],441958,2006,Unknown
62502478,"['0966-8136', '1465-3427']",340634,1991,Unknown
621013837,"['1469-8714', '0952-5238']",341800,1985,Unknown
6408612,"['1572-8668', '0028-2677']",445086,1978,Unknown
614059913,"['2042-4582', '0093-4690']",442927,1976,Unknown
67030239,"['1369-118X', '1468-4462']",441597,1968,Unknown
623027247,"['1461-7005', '1362-3613']",438299,1959,Unknown
61708578,"['1467-8721', '0963-7214']",439662,1941,Unknown
62034706,"['0024-3949', '1613-396X']",342868,1932,Unknown
613039307,"['0040-5833', '1573-7187']",340434,1931,Unknown
616055483,"['1747-7557', '0143-4632']",341890,1928,Unknown
624023298,"['0142-5692', '1465-3346']",422307,1926,Unknown
61029331,"['1552-390X', '0013-9165']",343684,1926,Unknown
6304079,"['1758-5309', '0003-5815']",484363,1923,Unknown
611022785,"['0729-4360', '1469-8366']",441153,1921,Unknown
616024362,"['1469-297X', '0260-2938']",438174,1915,Unknown
61025129,"['0007-6791', '1743-7938']",342362,1913,Unknown
614061086,"['1469-3518', '0141-1926']",428647,1912,Unknown
67065547,"['1469-8099', '0026-749X']",339856,1906,Unknown
64050669,['0048-3486'],445667,1901,Unknown
622027982,"['0025-7273', '2048-8343']",444708,1896,Unknown
69013561,"['1469-3534', '0306-9885']",438648,1886,Unknown
65029327,"['1435-9456', '1435-9448']",437697,1884,Unknown
623025653,['0040-0912'],440076,1876,Unknown
612047208,"['1469-5898', '0304-3797']",340621,1865,Unknown
612030027,"['0090-6905', '1573-6555']",443619,1864,Unknown
64042018,"['0951-8398', '1366-5898']",446253,1863,Unknown
61019995,"['0021-8774', '1468-5922']",442388,1862,Unknown
62502499,"['1747-7646', '0966-9582']",443820,1856,Unknown
62032967,"['0031-2746', '1477-464X']",445606,1855,Unknown
625015558,"['0022-0272', '1366-5839']",341945,1851,Unknown
618061353,"['1469-5820', '0144-3410']",440097,1851,Unknown
612014977,['2504-284X'],489977,1849,True
619038007,"['1743-0445', '1743-0437']",434331,1849,Unknown
626077760,"['0092-623X', '1521-0715']",443726,1843,Unknown
69048293,"['1760-7426', '0035-1121']",476225,1842,True
67021570,"['1573-0638', '0020-8566']",343688,1842,Unknown
616023918,"['0165-2516', '1613-3668']",342284,1838,Unknown
68015468,"['1469-8315', '0015-587X']",440716,1837,Unknown
6708629,"['0013-1911', '1465-3397']",440103,1824,Unknown
624017057,"['0007-1234', '1469-2112']",343221,1808,Unknown
62012951,"['0034-6586', '1475-4991']",341871,1807,Unknown
65010599,"['0269-994X', '1464-0597']",437959,1794,Unknown
611062092,['0927-5371'],342289,1791,Unknown
62407133,"['1099-1255', '0883-7252']",442414,1791,Unknown
623028583,"['1460-3659', '0306-3127']",341858,1786,Unknown
65019991,"['1969-6981', '0013-7545']",440229,1785,Unknown
616049174,['0095-4470'],443532,1784,Unknown
618024186,"['1469-9990', '1352-8165']",445649,1780,Unknown
68016748,"['0922-4777', '1573-0905']",341577,1779,Unknown
67030233,"['1464-5351', '1369-1058']",341980,1779,Unknown
612038332,['0969-5931'],340982,1773,Unknown
68027344,"['1467-9442', '0347-0520']",343272,1773,Unknown
6107706,"['1460-2482', '0031-2290']",445599,1767,Unknown
61606255,"['1360-3116', '1464-5173']",441886,1763,Unknown
621023884,"['2044-8309', '0144-6665']",341449,1762,Unknown
68037547,"['0790-9667', '2051-6967']",442172,1757,Unknown
6609991,"['0306-6150', '1743-9361']",428607,1757,Unknown
613053772,['1043-951X'],439044,1751,Unknown
618043460,"['0075-4358', '1753-528X']",443699,1747,Unknown
61043126,"['0043-8243', '1470-1375']",448182,1743,Unknown
63046653,"['1740-1720', '0305-6244']",446469,1742,Unknown
6803028,"['2044-8260', '0144-6657']",438641,1741,Unknown
625031385,"['1573-3505', '0164-0305', '0882-2689']",443624,1736,Unknown
61905323,"['1469-7777', '0022-278X']",341434,1731,Unknown
68027264,"['0309-877X', '1469-9486']",442970,1731,Unknown
64059737,"['1467-8519', '0269-9702']",438431,1729,Unknown
624024565,"['1461-7226', '0020-8523']",341294,1727,Unknown
614061173,"['0439-4216', '1953-8103']",444399,1721,Unknown
622015585,"['0020-7144', '1744-5183']",441781,1720,Unknown
618019660,"['0933-5846', '1432-0665', '0003-9268']",438021,1717,Unknown
67064353,"['0714-9808', '1710-1107']",438858,1717,Unknown
69071167,['0361-3682'],437124,1716,Unknown
611066456,"['0735-3936', '1099-0798']",438357,1715,Unknown
62061430,"['0022-2267', '1469-7742']",443210,1714,Unknown
67043483,"['0191-6599', '1873-541X']",441204,1713,Unknown
61024933,"['1467-9752', '0309-8249']",340854,1708,Unknown
623020192,"['1467-8543', '0007-1080']",438650,1707,Unknown
616014178,"['1049-4820', '1744-5191']",441684,1705,Unknown
68040378,"['0026-3206', '1743-7881']",444835,1698,Unknown
64059700,"['1464-5076', '0269-9206']",439164,1697,Unknown
66044573,"['1355-4794', '1465-3656']",445123,1685,Unknown
61053939,"['1461-7250', '0022-0094']",442698,1681,Unknown
613062809,"['0966-369X', '1360-0524']",440846,1681,Unknown
617026660,"['0022-5185', '1477-4607']",444005,1679,Unknown
61606238,"['1468-3148', '1360-2322']",442267,1676,Unknown
625040544,"['1756-6053', '0023-8309']",444290,1674,Unknown
626048736,['1367-3270'],443181,1674,Unknown
61064191,"['1573-1901', '0926-7220']",446779,1671,Unknown
65030639,"['1469-5138', '0021-8537']",442351,1666,Unknown
614026284,['0740-624X'],440993,1665,Unknown
6708558,"['0013-1881', '1469-5847']",440100,1661,Unknown
68020086,"['1469-7823', '0047-2794']",343358,1660,Unknown
612042475,"['2365-9521', '0012-0936']",439847,1660,Unknown
618062560,"['0008-0055', '1777-5353']",438784,1659,Unknown
66043510,"['1389-4978', '1573-7780']",443022,1656,Unknown
63046682,"['1465-3893', '0305-7070']",341401,1654,Unknown
65051709,"['1467-6451', '0022-1821']",443091,1650,Unknown
61807290,"['0141-7789', '1466-4380']",440621,1650,Unknown
622061031,"['0169-3867', '1572-8404']",438458,1647,Unknown
61032772,"['1468-4381', '1050-3307']",340319,1638,Unknown
616025716,"['1365-2729', '0266-4909']",442667,1636,Unknown
66012912,"['1744-5019', '0360-5310']",341529,1630,Unknown
69014897,"['1469-2139', '0008-1973']",438800,1628,Unknown
626048708,"['1466-4461', '1366-9877']",443696,1628,Unknown
617015448,"['1423-0054', '0018-716X']",341137,1622,Unknown
621018227,"['1467-9396', '0965-7576']",340261,1620,Unknown
624014157,"['1057-2414', '1095-9270']",447578,1618,Unknown
621035831,"['1469-901X', '0034-4125']",446389,1618,Unknown
65029342,['1435-9871'],341090,1618,True
612060836,"['1099-0879', '1063-3995']",429963,1616,Unknown
61402564,"['1469-7602', '0305-0009']",442570,1615,Unknown
623068571,"['0269-2821', '1573-7462']",438116,1611,Unknown
62205528,"['1745-3984', '0022-0655']",442803,1608,Unknown
6201307,"['1356-2517', '1470-1294']",447385,1604,Unknown
619033606,"['1699-2407', '1386-6710']",449601,1601,Unknown
617012686,"['1072-4133', '1099-0968']",440403,1600,Unknown
67027419,"['1461-7447', '0959-3543']",447737,1597,Unknown
69069289,"['0035-2624', '2271-7005']",446615,1593,Unknown
61024962,"['0309-8265', '1466-1845']",442994,1591,Unknown
619039444,"['0017-257X', '1477-7053']",343192,1590,Unknown
69051191,"['1816-3831', '1607-5889', '1560-7755', '0020-8604']",475129,1589,Unknown
61601811,"['0951-5089', '1465-394X']",418687,1588,Unknown
63046564,"['1465-3915', '0305-4985']",413838,1586,Unknown
613016194,"['1464-5106', '0268-0939']",442795,1586,Unknown
619029383,"['1469-9699', '1461-670X']",444136,1581,Unknown
625016821,"['1469-3623', '0305-7925']",436761,1577,Unknown
62407052,"['1467-971X', '0883-2919']",448187,1577,Unknown
62044865,"['2196-7008', '0031-7985']",445721,1573,Unknown
61106368,"['1866-9557', '1866-9565']",484327,1573,Unknown
65060117,"['1352-4658', '1469-1833']",438360,1570,Unknown
63046613,"['0305-5698', '1465-3400']",440104,1570,Unknown
623020149,"['0007-1005', '1467-8527']",438645,1566,Unknown
611071020,"['1465-363X', '0955-792X']",443216,1562,Unknown
621019445,"['0001-6993', '1502-3869']",340919,1560,Unknown
623015308,"['1475-7575', '0300-4279']",471814,1556,Unknown
69028847,"['1350-4622', '1469-5871']",440277,1553,Unknown
6905186,"['0268-540X', '1467-8322']",437862,1547,Unknown
62060156,"['1467-9655', '1359-0987']",443976,1546,Unknown
67015483,"['1468-0777', '1471-5902']",440620,1546,Unknown
621022424,"['1752-2706', '0039-6265']",447319,1545,Unknown
61203872,"['2049-680X', '0025-3359']",444565,1537,Unknown
62043314,"['2538-8460', '1392-8716']",474725,1531,Unknown
6708785,"['1471-3012', '1741-2684']",439801,1530,Unknown
616014080,['1048-9843'],444352,1528,Unknown
67043453,['0191-491X'],447259,1524,Unknown
64028895,"['1461-7323', '1350-5084']",445477,1523,Unknown
67065514,"['1568-525X', '0026-7074']",444885,1522,Unknown
624051673,"['0261-510X', '2044-835X']",343162,1521,Unknown
613017396,"['1958-9549', '0458-726X']",444279,1519,Unknown
615033726,"['1568-5330', '0042-4935']",448040,1511,Unknown
617024713,"['0308-0188', '1743-2790']",442191,1508,Unknown
62033146,"['0031-3831', '1470-1170']",343595,1507,Unknown
61409636,"['2159-4260', '0001-4788']",449208,1507,Unknown
68031468,"['0959-3535', '1461-7161']",340467,1502,Unknown
619026404,"['1356-7500', '1365-2206']",439024,1499,Unknown
62409860,"['1469-3739', '0159-6306']",439916,1495,Unknown
63057745,['1042-4431'],443153,1494,Unknown
625055935,"['2041-6962', '0038-4283']",447678,1493,Unknown
613057060,['0388-0001'],444298,1492,Unknown
619022036,['0143-7739'],444350,1490,Unknown
626048711,"['1747-7522', '1367-0050']",441768,1488,Unknown
61040154,"['2585-7878', '1335-4205']",479800,1487,True
623024269,"['1464-519X', '0260-1370']",441909,1484,Unknown
68013221,"['1574-0218', '1572-8412', '0010-4817', '1574-020X']",470449,1480,Unknown
61034101,"['0014-1844', '1469-588X']",340512,1480,Unknown
6806762,"['1743-890X', '1351-0347']",439803,1479,Unknown
612045547,"['1468-2281', '0950-3471']",441187,1479,Unknown
614020585,"['0960-2011', '1464-0694']",445149,1477,Unknown
619023504,['0959-4752'],444357,1474,Unknown
612026167,"['1461-7021', '1359-1045']",439148,1473,Unknown
61707000,"['0265-0487', '1759-3948']",449234,1470,Unknown
65056787,"['0305-7356', '1741-3087']",446207,1470,Unknown
61065210,"['0260-2105', '1469-9044']",343284,1466,Unknown
68033488,['1045-2354'],439578,1461,Unknown
612021809,"['0960-6491', '1464-3650']",441562,1459,Unknown
61066610,['0304-422X'],445893,1457,Unknown
625016773,['0305-7488'],443053,1456,Unknown
625022875,"['1477-450X', '0142-6001']",437924,1454,Unknown
61907214,"['1469-7637', '0022-0469']",426353,1453,Unknown
61019963,"['0021-8758', '1469-5154']",442384,1445,Unknown
61502767,"['0305-0068', '1360-0486']",343044,1443,Unknown
616012771,['2352-250X'],491473,1443,Unknown
63056436,['0378-8733'],340179,1441,Unknown
626076579,['0885-2014'],439224,1436,Unknown
63012011,"['1863-9690', '1863-9704']",478547,1436,Unknown
65034219,"['0012-1045', '2192-1482']",439848,1430,Unknown
68033492,"['1045-3172', '1467-8551']",438652,1430,Unknown
67043407,"['1461-734X', '0191-4537']",445742,1430,Unknown
616025576,"['1741-2870', '0266-2426']",341399,1428,Unknown
611047563,['1740-1445'],470667,1427,Unknown
67062782,"['1865-9063', '0049-8661']",339792,1421,Unknown
623012865,"['0143-0343', '1461-7374']",341125,1419,Unknown
63062900,"['1532-7663', '1057-7408']",442690,1418,Unknown
